所属概念数量,market_code,code,所属概念,股票代码
6,17,603193,三胎概念;跨境电商;C2M概念;IP经济(谷子经济);沪股通;融资融券,603193.SH
15,17,600160,PVDF概念;氟化工概念;消毒剂;锂电池概念;煤化工概念;2025年报预增;液冷服务器;中芯国际概念;国企改革;风电;融资融券;数据中心(AIDC);碳交易;绿色电力;沪股通,600160.SH
23,33,002181,足球概念;广东自贸区;体育产业;短剧游戏;文化传媒概念;网红经济;IP经济(谷子经济);虚拟数字人;职业教育;AIGC概念;旅游概念;AI应用;互联网金融;独角兽概念;数字经济;粤港澳大湾区;人工智能;智慧政务;创投;国企改革;参股券商;融资融券;深股通,002181.SZ
11,33,002933,军民融合;军工;无人机;高端装备;机器人概念;京津冀一体化;海工装备;2025年报预增;专精特新;人形机器人;国企改革,002933.SZ
20,33,002229,算力租赁;数字水印;云计算;东数西算(算力);Web3.0;AIGC概念;ChatGPT概念;数据中心(AIDC);数据要素;虚拟数字人;区块链;元宇宙;数字经济;DeepSeek概念;人工智能;福建自贸区;海峡两岸;体育产业;融资融券;深股通,002229.SZ
4,17,603823,光刻胶;PEEK材料;钠离子电池;沪股通,603823.SH
27,17,603011,可控核聚变;核电;航空发动机;商业航天;军工;共封装光学(CPO);海工装备;东数西算(算力);高端装备;新型烟草(电子烟);工业母机;机器视觉;食品安全;PCB概念;工业互联网;比亚迪概念;人工智能;新能源汽车;新型工业化;氢能源;家用电器;农机;特斯拉概念;固废处理;煤炭概念;沪股通;融资融券,603011.SH
17,17,603678,超级电容;第三代半导体;5G;芯片概念;商业航天;小米概念;数据中心(AIDC);军工;核电;新能源汽车;专精特新;2025年报预增;海峡两岸;人工智能;创投;沪股通;融资融券,603678.SH
10,33,002871,液冷服务器;军民融合;军工;数据中心(AIDC);人民币贬值受益;人工智能;水利;一带一路;地下管网;俄乌冲突概念,002871.SZ
9,17,603344,汽车热管理;家用电器;机器人概念;新能源汽车;比亚迪概念;小米概念;锂电池概念;沪股通;融资融券,603344.SH
16,17,603039,华为盘古;云办公;中国AI 50;财税数字化;智慧政务;鸿蒙概念;AI智能体;AI应用;腾讯概念;信创;DeepSeek概念;人工智能;数字经济;华为概念;融资融券;沪股通,603039.SH
10,17,603778,硅能源;TOPCON电池;新型城镇化;PPP概念;HJT电池;固态电池;虚拟电厂;钙钛矿电池;储能;光伏概念,603778.SH
25,33,002995,快手概念;小红书概念;Web3.0;短剧游戏;文化传媒概念;虚拟数字人;拼多多概念;AIGC概念;云办公;财税数字化;AI应用;抖音概念(字节概念);元宇宙;腾讯概念;百度概念;AI智能体;IP经济(谷子经济);区块链;阿里巴巴概念;数字经济;人工智能;DeepSeek概念;京津冀一体化;虚拟现实;预制菜,002995.SZ
22,17,603598,快手概念;小红书概念;短剧游戏;拼多多概念;AIGC概念;虚拟数字人;文化传媒概念;多模态AI;抖音概念(字节概念);元宇宙;AI应用;腾讯概念;百度概念;AI智能体;阿里巴巴概念;鸿蒙概念;数据要素;人工智能;DeepSeek概念;网红经济;华为概念;京津冀一体化,603598.SH
28,33,002474,Web3.0;智慧政务;数据安全;华为鲲鹏;云办公;区块链;在线教育;数据要素;AI应用;鸿蒙概念;数字经济;网络安全;信创;智慧城市;人工智能;安防;物联网;虚拟现实;福建自贸区;军工信息化;物业管理;华为概念;军工;海峡两岸;电力物联网;智能电网;核污染防治;融资融券,002474.SZ
