所属概念,market_code,股票代码,所属概念数量,code
军工信息化;卫星导航;商业航天;时空大数据;华为昇腾;空间计算;军工;无人机;低空经济;云计算;数据要素;AI智能体;数字孪生;智慧城市;人工智能;MR(混合现实);DeepSeek概念;华为概念;钙钛矿电池;水利;碳中和;雄安新区;AI应用;沪股通;融资融券,17,688066.SH,25,688066
医疗器械概念;融资融券,17,688613.SH,2,688613
商业航天;卫星导航;军工;MicroLED概念;福建自贸区;海峡两岸;人脸识别;MiniLED;第三代半导体;光伏概念;共封装光学(CPO);芯片概念;消费电子概念;汽车电子;智能家居;家用电器;深股通,33,300102.SZ,17,300102
无人驾驶;智能物流;统一大市场;机器视觉;机器人概念;拼多多概念;专精特新;国企改革;人工智能;无人机;华为概念;阿里巴巴概念;抖音概念(字节概念);沪股通;中字头股票;融资融券,17,688648.SH,16,688648
超级电容;5G;可控核聚变;人形机器人;新能源汽车;储能;东数西算(算力);华为概念;机器人概念;军工;国企改革;深股通;融资融券,33,002484.SZ,13,002484
钠离子电池;固态电池;锂电池概念;石墨烯;燃料电池;储能;动力电池回收;氢能源;新能源汽车;专精特新;一带一路;军工;数据中心;粤港澳大湾区;无人机;人民币贬值受益;5G;东数西算(算力);阿里巴巴概念;百度概念;深股通;融资融券,33,002733.SZ,22,002733
长三角一体化;一带一路;沪股通;融资融券,17,603055.SH,4,603055
PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;2025年报预增;海峡两岸;专精特新;华为概念;沪股通,17,603256.SH,11,603256
钠离子电池;氟化工概念;磷化工;固态电池;宁德时代概念;锂电池概念;比亚迪概念;家用电器;深股通;融资融券,33,002759.SZ,10,002759
OLED;先进封装;光伏概念;合成生物;新能源汽车;柔性屏(折叠屏);消费电子概念;基因测序;AI眼镜;乡村振兴;智能穿戴;京津冀一体化;融资融券;深股通,33,300596.SZ,14,300596
存储芯片;先进封装;芯片概念;专精特新;沪股通;融资融券,17,688300.SH,6,688300
商业航天;航空发动机;卫星导航;大飞机;军工;无人机;低空经济;飞行汽车(eVTOL);PEEK材料;换电概念;机器人概念;人形机器人;专精特新;华为汽车;小米汽车;创投;汽车热管理;特斯拉概念;氢能源;智能物流;比亚迪概念;小米概念;新能源汽车;家用电器;深股通;融资融券,33,301005.SZ,26,301005
金属锌;金属铅;金属铜;黄金概念;金属钴;小金属概念;金属镍;金属回收;期货概念;国企改革;DeepSeek概念;深股通;融资融券,33,000060.SZ,13,000060
可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,33,300191.SZ,7,300191
军工信息化;商业航天;军民融合;军工;安防;人工智能;无人驾驶;创投;核电;机器人概念;专精特新;新型工业化;智能家居;长安汽车概念;充电桩;比亚迪概念;智能电网;储能;新能源汽车;锂电池概念;宁德时代概念;深股通;融资融券,33,002519.SZ,23,002519
